# $E$ (ev)	Int (arb. units)
-3.766721e+00	1.474140e+00
-3.777060e+00	1.418247e+00
-3.787399e+00	1.362353e+00
-3.797738e+00	1.330031e+00
-3.808078e+00	1.363139e+00
-3.818417e+00	1.396247e+00
-3.828756e+00	1.429355e+00
-3.839095e+00	1.462463e+00
-3.849435e+00	1.495572e+00
-3.859774e+00	1.528680e+00
-3.870113e+00	1.561788e+00
-3.880452e+00	1.594896e+00
-3.890792e+00	1.628004e+00
-3.901131e+00	1.630309e+00
-3.911470e+00	1.611471e+00
-3.921809e+00	1.592632e+00
-3.932149e+00	1.573793e+00
-3.942488e+00	1.554955e+00
-3.952827e+00	1.536116e+00
-3.963166e+00	1.517277e+00
-3.973506e+00	1.498438e+00
-3.983845e+00	1.479600e+00
-3.994184e+00	1.460761e+00
-4.004523e+00	1.508988e+00
-4.014863e+00	1.562960e+00
-4.025202e+00	1.616931e+00
-4.035541e+00	1.670903e+00
-4.045880e+00	1.724875e+00
-4.056220e+00	1.778847e+00
-4.066559e+00	1.832819e+00
-4.076898e+00	1.886791e+00
-4.087237e+00	1.940763e+00
-4.097577e+00	1.967539e+00
-4.107916e+00	1.912388e+00
-4.118255e+00	1.857236e+00
-4.128595e+00	1.802085e+00
-4.138934e+00	1.746933e+00
-4.149273e+00	1.691782e+00
-4.159612e+00	1.636630e+00
-4.169952e+00	1.581478e+00
-4.180291e+00	1.526327e+00
-4.190630e+00	1.471175e+00
-4.200969e+00	1.439752e+00
-4.211309e+00	1.425700e+00
-4.221648e+00	1.411648e+00
-4.231987e+00	1.397596e+00
-4.242326e+00	1.383544e+00
-4.252666e+00	1.369492e+00
-4.263005e+00	1.355439e+00
-4.273344e+00	1.341387e+00
-4.283683e+00	1.327335e+00
-4.294023e+00	1.313283e+00
-4.304362e+00	1.327429e+00
-4.314701e+00	1.344520e+00
-4.325040e+00	1.361610e+00
-4.335380e+00	1.378701e+00
-4.345719e+00	1.395791e+00
-4.356058e+00	1.412882e+00
-4.366397e+00	1.429972e+00
-4.376737e+00	1.447063e+00
-4.387076e+00	1.464153e+00
-4.397415e+00	1.477773e+00
-4.407754e+00	1.480004e+00
-4.418094e+00	1.482234e+00
-4.428433e+00	1.484465e+00
-4.438772e+00	1.486696e+00
-4.449111e+00	1.488927e+00
-4.459451e+00	1.491158e+00
-4.469790e+00	1.493389e+00
-4.480129e+00	1.495620e+00
-4.490468e+00	1.497851e+00
-4.500808e+00	1.502827e+00
-4.511147e+00	1.509947e+00
-4.521486e+00	1.517066e+00
-4.531826e+00	1.524185e+00
-4.542165e+00	1.531304e+00
-4.552504e+00	1.538423e+00
-4.562843e+00	1.545542e+00
-4.573183e+00	1.552661e+00
-4.583522e+00	1.559781e+00
-4.593861e+00	1.566900e+00
-4.604200e+00	1.571077e+00
-4.614540e+00	1.574889e+00
-4.624879e+00	1.578702e+00
-4.635218e+00	1.582515e+00
-4.645557e+00	1.586328e+00
-4.655897e+00	1.590141e+00
-4.666236e+00	1.593953e+00
-4.676575e+00	1.597766e+00
-4.686914e+00	1.601579e+00
-4.697254e+00	1.602122e+00
-4.707593e+00	1.590933e+00
-4.717932e+00	1.579745e+00
-4.728271e+00	1.568556e+00
-4.738611e+00	1.557368e+00
-4.748950e+00	1.546179e+00
-4.759289e+00	1.534991e+00
-4.769628e+00	1.523802e+00
-4.779968e+00	1.512614e+00
-4.790307e+00	1.501425e+00
-4.800646e+00	1.514867e+00
-4.810985e+00	1.548782e+00
-4.821325e+00	1.582697e+00
-4.831664e+00	1.616612e+00
-4.842003e+00	1.650526e+00
-4.852342e+00	1.684441e+00
-4.862682e+00	1.718356e+00
-4.873021e+00	1.752270e+00
-4.883360e+00	1.786185e+00
-4.893700e+00	1.820100e+00
-4.904039e+00	1.791566e+00
-4.914378e+00	1.754048e+00
-4.924717e+00	1.716529e+00
-4.935057e+00	1.679011e+00
-4.945396e+00	1.641492e+00
-4.955735e+00	1.603974e+00
-4.966074e+00	1.566455e+00
-4.976414e+00	1.528936e+00
-4.986753e+00	1.491418e+00
-4.997092e+00	1.469094e+00
-5.007431e+00	1.506666e+00
-5.017771e+00	1.544239e+00
-5.028110e+00	1.581812e+00
-5.038449e+00	1.619385e+00
-5.048788e+00	1.656958e+00
-5.059128e+00	1.694530e+00
-5.069467e+00	1.732103e+00
-5.079806e+00	1.769676e+00
-5.090145e+00	1.807249e+00
-5.100485e+00	1.811138e+00
-5.110824e+00	1.785212e+00
-5.121163e+00	1.759287e+00
-5.131502e+00	1.733361e+00
-5.141842e+00	1.707436e+00
-5.152181e+00	1.681510e+00
-5.162520e+00	1.655585e+00
-5.172859e+00	1.629659e+00
-5.183199e+00	1.603734e+00
-5.193538e+00	1.577808e+00
-5.203877e+00	1.576403e+00
-5.214216e+00	1.579037e+00
-5.224556e+00	1.581670e+00
-5.234895e+00	1.584304e+00
-5.245234e+00	1.586937e+00
-5.255574e+00	1.589570e+00
-5.265913e+00	1.592204e+00
-5.276252e+00	1.594837e+00
-5.286591e+00	1.597471e+00
-5.296931e+00	1.597853e+00
-5.307270e+00	1.588429e+00
-5.317609e+00	1.579005e+00
-5.327948e+00	1.569581e+00
-5.338288e+00	1.560158e+00
-5.348627e+00	1.550734e+00
-5.358966e+00	1.541310e+00
-5.369305e+00	1.531886e+00
-5.379645e+00	1.522462e+00
-5.389984e+00	1.513039e+00
-5.400323e+00	1.526262e+00
-5.410662e+00	1.560828e+00
-5.421002e+00	1.595393e+00
-5.431341e+00	1.629959e+00
-5.441680e+00	1.664524e+00
-5.452019e+00	1.699090e+00
